Epoch,AE Loss,Val AE Loss,BCE,KLD
1,11233.857395833333,8982.368631565825,4242.3369140625,366.82110595703125
2,8369.636201822917,8027.481743995179,3742.415283203125,444.1221923828125
3,7794.602267578125,7669.822688975232,3541.361572265625,460.7860107421875
1,11199.222106770834,8970.606536215924,4157.65771484375,440.248779296875
2,8321.886494791666,7884.13176061752,3606.30517578125,497.315673828125
3,7692.486361979167,7529.194312562334,3413.788818359375,513.130126953125
4,7431.361021484375,7363.101588472407,3282.098388671875,533.0071411132812
5,7280.180744140625,7233.895783120013,3221.14794921875,531.6744384765625
6,7176.165671875,7180.578924950133,3189.179443359375,537.2014770507812
7,7094.378945963542,7082.936705244349,3200.169921875,549.58203125
8,7039.654965494791,7043.749555871842,3109.609619140625,557.1280517578125
9,6993.05209375,7031.423019084525,3055.6650390625,565.4954223632812
10,6956.375065104166,6972.342744867852,3065.116455078125,567.555419921875
11,6918.814458333333,6960.783822566905,3011.38330078125,556.5481567382812
12,6893.364333984375,6944.408194034658,3008.053955078125,579.7523803710938
13,6865.755206380209,6904.613782517454,3005.510009765625,566.2164916992188
14,6838.123966145833,6893.353523416722,3004.587646484375,549.182861328125
15,6821.93036328125,6881.949834296044,3018.566162109375,558.9373779296875
16,6803.643960286458,6876.482634848737,2930.76904296875,579.1132202148438
17,6785.459291015625,6860.584550573471,2951.639892578125,576.4393310546875
18,6764.615388020833,6846.513308261303,2926.84765625,567.14208984375
19,6753.941521484375,6820.3364439619345,2959.95556640625,567.0336303710938
20,6740.67146875,6806.36185406624,2951.4736328125,592.7376098632812
21,6728.270147135417,6818.760686346825,2999.94482421875,582.120849609375
22,6710.703174479167,6799.176176030585,2948.8173828125,583.9857788085938
23,6703.034700520833,6795.318842461768,2934.797119140625,581.6915893554688
24,6693.785057291667,6780.038367738115,2905.499267578125,586.3265991210938
25,6682.347020182292,6798.249533795296,2918.9384765625,588.4616088867188
26,6673.757414713542,6765.760107162151,2916.134033203125,600.970703125
27,6666.80010546875,6769.459301238365,2916.622314453125,584.0377807617188
28,6655.291289713542,6756.211646546709,2893.59033203125,578.5820922851562
29,6651.461245442709,6737.897331075465,2878.993896484375,573.0778198242188
30,6641.847638020833,6734.947455223571,2903.982177734375,582.437744140625
31,6633.768025390625,6732.219336976396,2866.335205078125,580.1363525390625
32,6627.49281640625,6745.10738291639,2940.197998046875,581.1759643554688
33,6622.314354817709,6743.484586675117,2930.613037109375,582.55419921875
34,6613.597704427083,6748.280959109043,2881.19384765625,574.2833251953125
35,6611.140060546875,6736.439694668385,2913.58447265625,591.3744506835938
